,Global_GDP,US_Industrial_Production_Index,Global_Inflation,US_CPI_Fuels,10Y_Treasury_Yield,Fed_Funds_Rate,RealGDP_PerCapita,Unemployment_rate,opec_prod,Global_Prod,Econ_Policy_Uncertainty,Global_Policy_Uncertainty,US_FinReports_Petroleum_Coal,Vol_Energy_Regulation,Vol_Elections,WTI_Futures,US Dollar Index (DXY),WTI_Spot,Brent_Spot,NaturalGas_Spot,Baltic_Clean_Tanker,Baltic_Dirty_Tanker,GSCPI_Index
2010-08-01,70856285295189.45,92.5936,4.199041474113741,263.196,2.7,0.19,54457.0,9.5,20025.158980233333,87996.44499643838,133.63676757253856,121.13552433895624,67956.0,0.31893,0.05316,83.19999694824219,26.049999237060547,79.45999908447266,77.04,4.32,679.0,715.0,0.31
2010-09-01,71476586818105.67,92.8533,4.323712451317643,265.812,2.65,0.19,54513.0,9.5,20189.41407916667,88093.46882087975,108.20142959774684,132.6746211264529,70857.0,0.25981,0.20785,78.72000122070312,23.700000762939453,79.97000122070312,77.84,3.89,624.0,686.0,0.38
2010-10-01,72096888341021.88,92.6033,4.448383428521545,276.551,2.54,0.19,54569.0,9.4,20353.6691781,88190.49264532111,109.07293682531936,122.84859067837016,73758.0,0.24812,0.34737,77.2699966430664,21.200000762939453,81.43000030517578,82.67,3.43,627.0,758.0,0.69
2010-11-01,72717189863938.08,92.6686,4.573054405725447,286.367,2.76,0.19,54493.0,9.8,20517.924277033333,88287.51646976247,114.81083435043315,127.56428770901476,75886.66666666667,0.28435,0.22748,81.19999694824219,23.540000915527344,84.11000061035156,85.28,3.71,740.0,882.0,0.45
2010-12-01,73337491386854.3,93.5916,4.697725382929348,298.037,3.29,0.18,54417.0,9.3,20682.17937596667,88384.54029420383,77.0028504384169,130.47146184942636,78015.33333333333,0.16464,0.05488,79.02999877929688,17.75,91.37999725341797,91.45,4.25,759.0,1043.0,0.7
2011-01-01,73957792909770.5,93.3889,4.82239636013325,308.306,3.39,0.17,54341.0,9.1,20846.4344749,88481.5641186452,44.67372723461548,110.54911920551194,80144.0,0.45811,0.45811,77.73999786376953,19.530000686645508,92.19000244140625,96.52,4.49,644.0,662.0,0.78
2011-02-01,74094974893803.19,93.0045,4.73097388521435,315.129,3.58,0.16,54430.66666666666,9.0,20870.930232125,88672.21358875587,41.62163015528885,94.00501753299812,81197.33333333333,0.10912,0.21823,76.88999938964844,18.350000381469727,96.97000122070312,103.72,4.09,724.0,919.0,0.37
2011-03-01,74232156877835.88,93.9684,4.639551410295452,328.847,3.41,0.14,54520.333333333336,9.0,20895.42598935,88862.86305886654,70.49472000899426,127.28818736705588,82250.66666666667,0.46989,0.11747,75.86000061035156,17.739999771118164,106.72000122070312,114.64,3.97,841.0,932.0,0.73
2011-04-01,74369338861868.58,93.6571,4.548128935376552,340.035,3.46,0.1,54610.0,9.1,20919.921746575,89053.51252897721,62.227224747457925,115.90549319487478,83304.0,0.11083,0.22166,72.93000030517578,14.75,113.93000030517578,123.26,4.24,892.0,829.0,1.59
2011-05-01,74506520845901.27,93.7723,4.456706460457653,345.325,3.17,0.09,54567.333333333336,9.0,20944.4175038,89244.16199908787,55.08151472861108,89.15376292689858,81258.33333333333,0.17825,0.11884,74.63999938964844,15.449999809265137,104.67499923706055,114.99,4.31,716.0,761.0,0.92
2011-06-01,74643702829933.95,94.0493,4.365283985538754,345.235,3.0,0.09,54524.66666666666,9.1,20968.913261025,89434.81146919854,91.96403892240836,117.42706723957104,79212.66666666667,0.35552,0.35552,74.30000305175781,16.520000457763672,95.41999816894531,113.83,4.54,694.0,747.0,0.2
2011-07-01,74780884813966.66,94.4958,4.273861510619855,346.556,3.0,0.07,54482.0,9.0,20993.40901825,89625.46093930921,160.64557212177104,156.79499234195376,77167.0,0.13409,0.13409,73.9000015258789,25.25,95.69999694824219,116.97,4.42,684.0,721.0,0.29
2011-08-01,74918066797999.34,95.0974,4.182439035700956,345.613,2.3,0.1,54647.66666666666,9.0,21017.904775475,89816.11040941988,231.1489687908491,215.1311295154729,79372.0,0.91193,0.45596,74.12999725341797,31.6200008392334,88.80999755859375,110.22,4.06,688.0,679.0,-0.1
2011-09-01,75055248782032.03,95.0244,4.091016560782057,344.318,1.98,0.08,54813.333333333336,9.0,21042.4005327,90006.75987953055,122.69902522038764,190.5439042585078,81577.0,0.69785,0.38065,78.55000305175781,42.959999084472656,79.19999694824219,112.83,3.9,725.0,697.0,-0.55
2011-10-01,75192430766064.72,95.6891,3.9995940858631576,343.218,2.15,0.07,54979.0,8.8,21066.896289925,90197.4093496412,75.55926705113976,166.43217929721175,83782.0,0.36061,0.48082,76.16999816894531,29.959999084472656,93.19000244140625,109.55,3.57,728.0,773.0,-0.37
2011-11-01,75329612750097.4,95.6778,3.908171610944258,346.209,2.01,0.08,55100.0,8.6,21091.39204715,90388.05881975188,78.17902266057708,198.1317973637303,85402.66666666667,0.12113,0.18169,78.38999938964844,27.799999237060547,100.36000061035156,110.77,3.24,719.0,788.0,0.14
2011-12-01,75466794734130.11,96.1809,3.816749136025359,341.472,1.98,0.07,55221.0,8.5,21115.887804375,90578.70828986257,88.39772089770635,182.78905137314808,87023.33333333333,0.0,0.33778,80.16999816894531,23.399999618530277,98.83000183105469,107.87,3.17,908.0,930.0,-0.04
2012-01-01,75603976718162.8,96.7595,3.72532666110646,338.522,1.97,0.08,55342.0,8.3,21140.3835616,90769.35775997322,76.10838963145328,161.9731155148132,88644.0,0.24175,1.20875,79.27999877929688,19.440000534057617,102.95000076293945,110.69,2.67,651.0,813.0,0.39
2012-02-01,75782926017713.02,97.0662,3.635855558444736,339.818,1.97,0.1,55391.333333333336,8.3,21131.776027358334,90814.062956481,71.55014347776125,142.62188173566307,84589.0,0.42708,0.21354,78.7300033569336,18.43000030517578,107.06999969482422,119.33,2.51,723.0,784.0,0.02
2012-03-01,75961875317263.25,96.5609,3.546384455783012,339.337,2.17,0.13,55440.66666666666,8.2,21123.168493116667,90858.7681529888,30.020061955727,134.73192062462016,80534.0,0.30604,0.55088,78.93000030517578,15.5,103.0199966430664,125.45,2.17,642.0,818.0,-0.36
2012-04-01,76140824616813.47,97.251,3.456913353121288,344.224,2.05,0.14,55490.0,8.2,21114.560958875,90903.47334949658,62.48596278129446,127.5423219006092,76479.0,0.29416,0.47066,78.79000091552734,17.149999618530273,94.77499771118164,119.75,1.95,626.0,779.0,-0.31
2012-05-01,76319773916363.7,97.4595,3.367442250459564,341.34,1.8,0.16,55478.0,8.2,21105.95342463333,90948.17854600438,61.22184380182376,160.44374596098984,78280.33333333333,0.26739,1.47067,83.04000091552734,24.059999465942383,86.52999877929688,110.34,2.43,605.0,707.0,-0.66
2012-06-01,76498723215913.92,97.4768,3.2779711477978397,323.907,1.62,0.16,55466.0,8.2,21097.345890391665,90992.88374251216,131.7220106639241,189.19506635219832,80081.66666666667,0.06845,1.43737,81.6500015258789,17.079999923706055,84.95999908447266,95.16,2.46,565.0,682.0,-0.7
2012-07-01,76677672515464.16,97.6714,3.188500045136115,320.495,1.53,0.16,55454.0,8.2,21088.73835615,91037.58893901994,123.276343608724,160.21621753862385,81883.0,0.44107,1.02916,82.63999938964844,18.93000030517578,90.71500015258789,102.62,2.95,579.0,642.0,-0.67
2012-08-01,76856621815014.38,97.2734,3.099028942474391,330.489,1.68,0.13,55437.0,8.1,21080.130821908333,91082.29413552771,107.42556663357696,123.13938666300692,81699.33333333333,0.30882,0.61764,81.25,17.469999313354492,96.47000122070312,113.36,2.84,581.0,627.0,-0.13
